[0620/175409.352:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0620/181241.447:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x15e4001bda00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181241.623:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x15e4001bda00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181241.918:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x15e4001bda00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181242.074:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x15e4001bda00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0620/181247.002:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:488] GPU state invalid after WaitForGetOffsetInRange.
[0620/181259.468:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x130c001b5400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181259.624:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x130c001b5400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181259.906:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x130c001b5400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181300.075:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x130c001b5400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0620/181443.148:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76f4001b6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181443.297:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76f4001b6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181443.596:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76f4001b6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181443.770:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76f4001b6600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0620/181514.840:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24e4001b6000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181514.955:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24e4001b6000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181515.191:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24e4001b6000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/181515.362:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x24e4001b6000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0620/183001.635:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x29a4001bec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/183001.757:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x29a4001bec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/183001.996:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x29a4001bec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/183002.196:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x29a4001bec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
